,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
15725,1200,Selangor - Petaling Jaya,Service Residence,1.0,0.0,1.0,301,Fully Furnished,"Security, Parking, Lift, Swimming Pool, Playground, Barbeque area, Sauna, Tennis Court, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15726,1199,Selangor - Kuala Langat,Condominium,3.0,0.0,2.0,870,Partially Furnished,"Playground, Security, Swimming Pool, Gymnasium, Lift, Club house, Squash Court, Parking, Minimart",None,Selangor
15727,900,Selangor - Rawang,Apartment,3.0,1.0,2.0,850,Partially Furnished,"Parking, Lift, Playground, Barbeque area, Minimart","Cooking Allowed, Near KTM/LRT",Selangor
15728,1600,Selangor - Selayang,Condominium,3.0,1.0,2.0,1011,Partially Furnished,"Parking, Minimart, Gymnasium, Security, Swimming Pool, Playground, Barbeque area","Cooking Allowed, Air-Cond",Selangor
15729,1500,Selangor - Kota Damansara,Condominium,3.0,0.0,2.0,936,Fully Furnished,None,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
15730,1000,Selangor - Kajang,Apartment,3.0,2.0,2.0,1050,Not Furnished,"Club house, Tennis Court, Squash Court, Parking, Barbeque area, Multipurpose hall, Security, Swimming Pool, Sauna, Gymnasium, Jogging Track, Playground, Lift",None,Selangor
15731,900,Selangor - Shah Alam,Apartment,2.0,1.0,2.0,430,Partially Furnished,"Playground, Swimming Pool, Lift, Security, Parking, Gymnasium, Minimart","Near KTM/LRT, Cooking Allowed",Selangor
15732,550,Selangor - Kajang,Apartment,3.0,1.0,2.0,650,Not Furnished,"Parking, Security",None,Selangor
15733,1000,Selangor - Puchong,Condominium,2.0,1.0,2.0,908,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house","Air-Cond, Cooking Allowed",Selangor
15734,1600,Selangor - Subang Jaya,Service Residence,4.0,0.0,3.0,1065,Partially Furnished,"Playground, Swimming Pool, Multipurpose hall, Minimart, Security, Tennis Court, Lift, Parking","Cooking Allowed, Near KTM/LRT",Selangor
15735,1300,Selangor - Ampang,Condominium,3.0,1.0,2.0,850,Partially Furnished,"Minimart, Gymnasium, Multipurpose hall, Security, Swimming Pool, Parking, Lift, Playground",Cooking Allowed,Selangor
15736,1200,Selangor - Ampang,Condominium,3.0,1.0,2.0,850,Not Furnished,"Multipurpose hall, Parking, Security, Gymnasium, Minimart, Swimming Pool",None,Selangor
15737,2000,Selangor - Sungai Buloh,Service Residence,2.0,2.0,2.0,881,Fully Furnished,"Playground, Gymnasium, Jogging Track, Parking, Multipurpose hall, Swimming Pool",None,Selangor
15738,1500,Selangor - Ampang,Apartment,3.0,0.0,2.0,900,Not Furnished,Parking,None,Selangor
15739,850,Selangor - Cheras,Flat,3.0,0.0,1.0,710,Partially Furnished,"Swimming Pool, Minimart, Parking",None,Selangor
